# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20200407112427
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/13857/profiles/R13857_119.nc,20010216205127,4.762,-27.825,A,845,AO,20181011180549
aoml/15820/profiles/R15820_121.nc,20010327003124,-4.002,-22.603,A,845,AO,20181011180716
aoml/15851/profiles/R15851_066.nc,19990804094711,-5.325,-13.205,A,845,AO,20181011180959
aoml/15852/profiles/R15852_006.nc,19971012125907,-6.999,-2.974,A,845,AO,20181011181007
aoml/15852/profiles/R15852_042.nc,19981112134953,-7.164,-5.792,A,845,AO,20181011181016
aoml/15853/profiles/R15853_105.nc,20001004163337,-6.318,-14.947,A,845,AO,20191024211531
aoml/15854/profiles/R15854_031.nc,19980712020219,-5.972,-8.803,A,845,AO,20181011181116
aoml/15854/profiles/R15854_034.nc,19980814023824,-6.715,-7.846,A,845,AO,20181011181117
aoml/15854/profiles/R15854_050.nc,19990206015722,-6.298,-9.549,A,845,AO,20181011181121
aoml/1900022/profiles/D1900022_065.nc,20031214150235,23.365,-62.421,A,851,AO,20190504153442
aoml/1900033/profiles/D1900033_025.nc,20020529095003,12.078,-39.626,A,851,AO,20190504160005
aoml/1900033/profiles/D1900033_031.nc,20020728150646,,,,851,AO,20190504160027
aoml/1900035/profiles/D1900035_058.nc,20030426163858,18.943,-46.725,A,851,AO,20190504162314
aoml/1900037/profiles/D1900037_049.nc,20030413084603,32.139,-33.184,A,851,AO,20190505163936
aoml/1900038/profiles/D1900038_022.nc,20020717022756,29.654,-28.546,A,851,AO,20190506130833
aoml/1900040/profiles/D1900040_034.nc,20021114220559,31.839,-38.697,A,851,AO,20190505164433
aoml/1900040/profiles/D1900040_082.nc,20040310165303,30.203,-38.795,A,851,AO,20190508104255
aoml/1900041/profiles/D1900041_001.nc,20020311053632,34.252,-18.661,A,851,AO,20190505164836
aoml/1900041/profiles/D1900041_010.nc,20020609084258,37.309,-16.106,A,851,AO,20190505164904
aoml/1900042/profiles/D1900042_076.nc,20050128194225,-41.964,90.506,I,846,AO,20150227132501
aoml/1900044/profiles/D1900044_019.nc,20030610143255,-47.735,63.520,I,0846,AO,20150227133447
aoml/1900048/profiles/D1900048_006.nc,20030126110748,-51.977,70.932,I,0846,AO,20150227134744
aoml/1900050/profiles/D1900050_034.nc,20031119061713,-27.371,54.647,I,0846,AO,20150227145431
aoml/1900050/profiles/D1900050_188.nc,20080423064538,-31.653,38.959,I,846,AO,20150227145510
aoml/1900051/profiles/D1900051_115.nc,20060318073636,-28.584,43.669,I,846,AO,20150227145823
aoml/1900052/profiles/D1900052_231.nc,20090719055508,-39.835,35.256,I,846,AO,20150227150221
aoml/1900053/profiles/D1900053_053.nc,20040606175208,-14.061,64.698,I,846,AO,20150227152532
aoml/1900053/profiles/D1900053_152.nc,20070412052514,-20.567,62.401,I,846,AO,20150227152558
aoml/1900053/profiles/D1900053_213.nc,20090111172049,-22.972,54.188,I,846,AO,20150227152614
aoml/1900053/profiles/D1900053_215.nc,20090201172213,-22.550,53.081,I,846,AO,20150227152614
aoml/1900053/profiles/D1900053_291.nc,20110410170227,-38.077,22.309,I,846,AO,20150227152634
aoml/1900054/profiles/D1900054_245.nc,20091214060838,-31.503,39.143,I,846,AO,20150227153127
aoml/1900054/profiles/D1900054_311.nc,20111107052835,-30.286,39.113,I,846,AO,20150227153144
aoml/1900056/profiles/D1900056_001.nc,20021210052704,-10.585,71.752,I,0846,AO,20150227153644
aoml/1900056/profiles/D1900056_286.nc,20110218215507,-2.098,64.325,I,846,AO,20150227153758
aoml/1900058/profiles/D1900058_043.nc,20040111220219,-34.466,-13.138,A,0851,AO,20190505170759
aoml/1900059/profiles/D1900059_046.nc,20040317221437,-8.878,-17.408,A,0851,AO,20190505173545
aoml/1900059/profiles/D1900059_088.nc,20050518105247,-9.245,-25.463,A,851,AO,20190505173757
aoml/1900059/profiles/D1900059_101.nc,20050927121307,-10.057,-24.201,A,851,AO,20190505173838
aoml/1900059/profiles/D1900059_200.nc,20080629032216,-14.495,-37.637,A,851,AO,20190505174341
aoml/1900059/profiles/D1900059_231.nc,20090509233432,-15.159,-37.741,A,851,AO,20190505174519
aoml/1900060/profiles/D1900060_255.nc,20100107020642,-23.732,-37.313,A,851,AO,20190505180322
aoml/1900060/profiles/D1900060_288.nc,20101208081103,-21.080,-39.631,A,851,AO,20190505180501
aoml/1900060/profiles/D1900060_302.nc,20110429225238,-22.207,-37.470,A,851,AO,20190505180546
aoml/1900061/profiles/D1900061_003.nc,20030103012239,-19.544,-2.272,A,0851,AO,20190505184221
aoml/1900061/profiles/D1900061_021.nc,20030704192025,-20.922,-2.192,A,0851,AO,20190505184317
aoml/1900143/profiles/D1900143_143.nc,20070110005412,-6.153,80.541,I,846,AO,20150227154801
aoml/1900143/profiles/D1900143_216.nc,20090214120025,-5.109,83.699,I,846,AO,20150227154820
aoml/1900144/profiles/D1900144_005.nc,20030122134254,-5.364,80.243,I,0846,AO,20150227155139
aoml/1900144/profiles/D1900144_262.nc,20100613015711,-9.636,81.040,I,846,AO,20150227155246
aoml/1900148/profiles/D1900148_079.nc,20050316042547,-47.153,122.313,I,846,AO,20150303173339
aoml/1900150/profiles/D1900150_212.nc,20090116203745,-29.142,60.803,I,846,AO,20150303180018
aoml/1900152/profiles/D1900152_050.nc,20040514164224,-39.719,82.565,I,846,AO,20150303180523
aoml/1900153/profiles/D1900153_045.nc,20040322124330,-47.130,113.535,I,0846,AO,20150303180731
aoml/1900153/profiles/D1900153_097.nc,20050921164245,-50.075,155.486,P,846,AO,20150303180744
aoml/1900154/profiles/D1900154_113.nc,20060607114801,,,,846,AO,20150303181400
aoml/1900155/profiles/D1900155_133.nc,20070103031557,-17.956,83.825,I,846,AO,20150303183254
aoml/1900155/profiles/D1900155_169.nc,20080116092055,-21.527,57.153,I,846,AO,20150303183303
aoml/1900157/profiles/D1900157_176.nc,20080328050117,-0.477,53.338,I,846,AO,20150303184823
aoml/1900158/profiles/D1900158_102.nc,20060210141452,-1.281,72.962,I,846,AO,20150303185054
aoml/1900158/profiles/D1900158_113.nc,20060606022029,0.044,69.110,I,846,AO,20150303185057
aoml/1900158/profiles/D1900158_156.nc,20070831105244,-14.215,101.792,I,846,AO,20150303185108
aoml/1900158/profiles/D1900158_195.nc,20081013224108,-16.812,76.316,I,846,AO,20150303185117
aoml/1900160/profiles/D1900160_030.nc,20040426074407,-1.610,43.092,I,846,AO,20150303185523
aoml/1900160/profiles/D1900160_043.nc,20040909185137,-1.989,45.722,I,846,AO,20150303185526
aoml/1900161/profiles/D1900161_007.nc,20030828200449,3.550,53.458,I,846,AO,20150304115932
aoml/1900161/profiles/D1900161_038.nc,20040719074152,3.042,55.268,I,846,AO,20150304115940
aoml/1900162/profiles/D1900162_036.nc,20040628053326,7.215,50.016,I,846,AO,20150304120154
aoml/1900162/profiles/D1900162_053.nc,20041223143246,1.960,45.546,I,846,AO,20150304120158
aoml/1900163/profiles/D1900163_016.nc,20030613234205,-42.818,27.005,I,0851,AO,20190505185140
aoml/1900164/profiles/D1900164_035.nc,20031225232736,-36.779,25.071,I,0851,AO,20190505185531
aoml/1900164/profiles/D1900164_039.nc,20040204144831,-36.043,24.929,I,0851,AO,20190505185545
aoml/1900164/profiles/D1900164_053.nc,20040625204715,-41.916,31.817,I,851,AO,20190505185635
aoml/1900164/profiles/D1900164_093.nc,20050806052708,-45.086,69.372,I,851,AO,20190505185856
aoml/1900164/profiles/D1900164_120.nc,20060507131953,-46.574,105.286,I,851,AO,20190505190027
aoml/1900166/profiles/D1900166_048.nc,20040611102037,2.818,-10.598,A,851,AO,20200305103217
aoml/1900166/profiles/D1900166_156.nc,20070617063211,5.446,2.275,A,851,AO,20200305103622
aoml/1900167/profiles/D1900167_027.nc,20031106173200,1.197,8.212,A,852,AO,20200211153817
aoml/1900168/profiles/D1900168_003.nc,20030310120000,,,,852,AO,20191219000000
aoml/1900171/profiles/D1900171_043.nc,20040928160016,-1.890,51.718,I,846,AO,20150304120807
aoml/1900171/profiles/D1900171_158.nc,20080306234914,-1.379,83.910,I,846,AO,20150304120834
aoml/1900180/profiles/D1900180_026.nc,20040316074025,-8.702,40.773,I,846,AO,20150304121242
aoml/1900180/profiles/D1900180_045.nc,20041001185533,-15.673,40.630,I,846,AO,20150304121247
aoml/1900181/profiles/D1900181_062.nc,20050329080936,1.953,50.205,I,846,AO,20150304121611
aoml/1900181/profiles/D1900181_069.nc,20050610223912,0.570,52.958,I,846,AO,20150304121613
aoml/1900182/profiles/D1900182_028.nc,20040405061412,9.870,56.076,I,846,AO,20150304121958
aoml/1900184/profiles/D1900184_021.nc,20040420213903,2.964,55.633,I,0846,AO,20150304122428
aoml/1900184/profiles/D1900184_089.nc,20060404215453,3.371,54.450,I,846,AO,20150304122446
aoml/1900184/profiles/D1900184_090.nc,20060415104009,3.651,55.324,I,846,AO,20150304122446
aoml/1900184/profiles/D1900184_112.nc,20061202094603,6.652,58.654,I,846,AO,20150304122451
aoml/1900184/profiles/D1900184_135.nc,20070731225602,2.032,46.861,I,846,AO,20150304122457
aoml/1900184/profiles/D1900184_159.nc,20080408225228,1.102,47.164,I,846,AO,20150304122504
aoml/1900184/profiles/D1900184_174.nc,20080913092620,4.794,50.744,I,846,AO,20150304122508
aoml/1900185/profiles/D1900185_080.nc,20051231182747,4.844,71.781,I,846,AO,20150304142456
aoml/1900185/profiles/D1900185_086.nc,20060304180941,3.182,63.212,I,846,AO,20150304142458
aoml/1900188/profiles/D1900188_031.nc,20040805140409,2.733,96.995,I,846,AO,20150304143214
aoml/1900190/profiles/D1900190_010.nc,20040728212828,-47.390,48.820,I,846,AO,20150304143358
aoml/1900190/profiles/D1900190_049.nc,20050913022338,-44.650,54.156,I,846,AO,20150304143409
aoml/1900190/profiles/D1900190_132.nc,20080204222514,-47.781,101.568,I,846,AO,20150304143431
aoml/1900190/profiles/D1900190_187.nc,20090906163949,-60.564,174.029,P,846,AO,20150304143445
aoml/1900192/profiles/D1900192_032.nc,20050326223349,-45.742,52.341,I,846,AO,20150304143918
aoml/1900192/profiles/D1900192_142.nc,20080529123523,-32.825,77.528,I,846,AO,20150304143947
aoml/1900193/profiles/D1900193_016.nc,20041009164837,-50.046,45.250,I,846,AO,20150304144147
aoml/1900193/profiles/D1900193_057.nc,20051215215547,-51.008,61.354,I,846,AO,20150304144158
aoml/1900194/profiles/D1900194_123.nc,20071122051545,-55.561,171.737,P,846,AO,20150304144433
aoml/1900194/profiles/D1900194_190.nc,20091028121556,-51.946,-138.998,P,846,AO,20150304144450
aoml/1900194/profiles/D1900194_195.nc,20091220055247,-54.297,-137.752,P,846,AO,20150304144452
aoml/1900195/profiles/D1900195_066.nc,20060331021532,-31.001,56.874,I,846,AO,20150304144645
aoml/1900195/profiles/D1900195_089.nc,20061128174936,-30.476,54.418,I,846,AO,20150304144651
aoml/1900196/profiles/D1900196_073.nc,20060611022009,-47.849,80.196,I,846,AO,20150304144857
aoml/1900196/profiles/D1900196_087.nc,20061105163311,-44.648,89.648,I,846,AO,20150304144900
aoml/1900196/profiles/D1900196_158.nc,20081123032453,-51.025,141.543,I,846,AO,20150304144919
aoml/1900196/profiles/D1900196_174.nc,20090510184512,-55.055,156.171,P,846,AO,20150304144923
aoml/1900197/profiles/D1900197_005.nc,20040624211047,-41.499,33.666,I,846,AO,20150304153309
aoml/1900200/profiles/D1900200_044.nc,20051130033621,-20.705,57.170,I,846,AO,20150304154840
aoml/1900200/profiles/D1900200_168.nc,20090629060740,-36.497,31.921,I,846,AO,20150304154909
aoml/1900203/profiles/D1900203_046.nc,20040820122015,-33.669,-17.227,A,852,AO,20191031101611
aoml/1900203/profiles/D1900203_109.nc,20060512103304,-29.333,-30.399,A,852,AO,20191031101941
aoml/1900203/profiles/D1900203_169.nc,20080102150929,-28.521,-34.657,A,852,AO,20191031102300
aoml/1900204/profiles/D1900204_036.nc,20040524103809,-30.128,-15.938,A,851,AO,20190506103037
aoml/1900204/profiles/D1900204_059.nc,20050113021950,-31.951,-20.419,A,851,AO,20190506103154
aoml/1900204/profiles/D1900204_139.nc,20070405194202,-31.519,-30.417,A,851,AO,20190506103600
aoml/1900204/profiles/D1900204_204.nc,20090125034008,-32.641,-33.565,A,851,AO,20190506103919
aoml/1900240/profiles/D1900240_002.nc,20030615104801,-34.532,-29.007,A,851,AO,20200305113449
aoml/1900240/profiles/D1900240_057.nc,20041225041653,-34.448,-30.728,A,851,AO,20200305113734
aoml/1900241/profiles/D1900241_029.nc,20040317112602,-34.249,-38.490,A,851,AO,20190506112854
aoml/1900241/profiles/D1900241_070.nc,20050507222053,-39.701,-35.782,A,851,AO,20190506113102
aoml/1900241/profiles/D1900241_135.nc,20070227065110,-33.424,-31.175,A,851,AO,20190506113418
aoml/1900241/profiles/D1900241_207.nc,20090227170930,-33.873,-38.505,A,851,AO,20190506113802
aoml/1900241/profiles/D1900241_254.nc,20100620053802,-30.839,-39.727,A,851,AO,20190506114032
aoml/1900242/profiles/D1900242_002.nc,20030623092457,10.646,-41.817,A,851,AO,20190506115514
aoml/1900243/profiles/D1900243_005.nc,20030719034605,-34.635,-50.514,A,851,AO,20190509101102
aoml/1900243/profiles/D1900243_045.nc,20040828142542,-42.062,-33.258,A,851,AO,20190509101310
aoml/1900243/profiles/D1900243_147.nc,20070630203213,-32.860,-21.726,A,851,AO,20190509101851
aoml/1900244/profiles/D1900244_046.nc,20041021110000,25.233,-28.688,A,852,AO,20200317131748
aoml/1900248/profiles/D1900248_050.nc,20041119123132,,,,852,AO,20191031104133
aoml/1900248/profiles/D1900248_074.nc,20050717125207,20.986,-30.147,A,852,AO,20191031104247
aoml/1900249/profiles/D1900249_004.nc,20030817135042,10.115,-21.900,A,852,AO,20191031102425
