# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_001.nc,20180315122140,-6.631,5.003,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083652
coriolis/3902131/profiles/BR3902131_001D.nc,20180313060100,-6.634,5.001,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083651
coriolis/3902131/profiles/BR3902131_002.nc,20180317115820,-6.563,4.967,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083653
coriolis/3902131/profiles/BR3902131_003.nc,20180319115320,-6.499,4.945,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083654
coriolis/3902131/profiles/BR3902131_004.nc,20180321115920,-6.455,4.964,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083655
coriolis/3902131/profiles/BR3902131_005.nc,20180323115540,-6.406,4.947,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083655
coriolis/3902131/profiles/BR3902131_006.nc,20180325121020,-6.354,4.984,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083656
coriolis/3902131/profiles/BR3902131_007.nc,20180327115320,-6.344,4.996,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083657
coriolis/3902131/profiles/BR3902131_008.nc,20180329115720,-6.310,5.013,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083657
coriolis/3902131/profiles/BR3902131_009.nc,20180331120220,-6.260,5.031,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083658
coriolis/3902131/profiles/BR3902131_010.nc,20180402120140,-6.225,5.107,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083659
coriolis/3902131/profiles/BR3902131_011.nc,20180404120920,-6.174,5.162,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083700
coriolis/3902131/profiles/BR3902131_012.nc,20180406115820,-6.141,5.204,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083701
coriolis/3902131/profiles/BR3902131_013.nc,20180408120320,-6.112,5.233,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083702
coriolis/3902131/profiles/BR3902131_014.nc,20180410115720,-6.124,5.292,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083703
coriolis/3902131/profiles/BR3902131_015.nc,20180412120440,-6.161,5.308,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083704
coriolis/3902131/profiles/BR3902131_016.nc,20180414120120,-6.180,5.338,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083706
coriolis/3902131/profiles/BR3902131_017.nc,20180416115720,-6.232,5.389,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083707
coriolis/3902131/profiles/BR3902131_018.nc,20180418115720,-6.314,5.382,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083707
coriolis/3902131/profiles/BR3902131_019.nc,20180420120520,-6.385,5.402,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083708
coriolis/3902131/profiles/BR3902131_020.nc,20180422120340,-6.452,5.416,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083709
coriolis/3902131/profiles/BR3902131_021.nc,20180424120420,-6.495,5.413,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083710
coriolis/3902131/profiles/BR3902131_022.nc,20180426120420,-6.563,5.436,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083711
coriolis/3902131/profiles/BR3902131_023.nc,20180428120420,-6.662,5.438,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083712
coriolis/3902131/profiles/BR3902131_024.nc,20180430120220,-6.724,5.460,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083713
