# Title : Synthetic-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual synthetic-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230427112417
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/SD3902131_001.nc,20180315122140,-6.631,5.003,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075100
coriolis/3902131/profiles/SD3902131_001D.nc,20180313060100,-6.634,5.001,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075047
coriolis/3902131/profiles/SD3902131_002.nc,20180317115820,-6.563,4.967,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075113
coriolis/3902131/profiles/SD3902131_003.nc,20180319115320,-6.499,4.945,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075126
coriolis/3902131/profiles/SD3902131_004.nc,20180321115920,-6.455,4.964,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075139
coriolis/3902131/profiles/SD3902131_005.nc,20180323115540,-6.406,4.947,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075152
coriolis/3902131/profiles/SD3902131_006.nc,20180325121020,-6.354,4.984,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075206
coriolis/3902131/profiles/SD3902131_007.nc,20180327115320,-6.344,4.996,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075219
coriolis/3902131/profiles/SD3902131_008.nc,20180329115720,-6.310,5.013,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075232
coriolis/3902131/profiles/SD3902131_009.nc,20180331120220,-6.260,5.031,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075243
coriolis/3902131/profiles/SD3902131_010.nc,20180402120140,-6.225,5.107,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075256
coriolis/3902131/profiles/SD3902131_011.nc,20180404120920,-6.174,5.162,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075309
coriolis/3902131/profiles/SD3902131_012.nc,20180406115820,-6.141,5.204,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075321
coriolis/3902131/profiles/SD3902131_013.nc,20180408120320,-6.112,5.233,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075334
coriolis/3902131/profiles/SD3902131_014.nc,20180410115720,-6.124,5.292,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075347
coriolis/3902131/profiles/SD3902131_015.nc,20180412120440,-6.161,5.308,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075400
coriolis/3902131/profiles/SD3902131_016.nc,20180414120120,-6.180,5.338,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075414
coriolis/3902131/profiles/SD3902131_017.nc,20180416115720,-6.232,5.389,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075427
coriolis/3902131/profiles/SD3902131_018.nc,20180418115720,-6.314,5.382,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075440
coriolis/3902131/profiles/SD3902131_019.nc,20180420120520,-6.385,5.402,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075452
coriolis/3902131/profiles/SD3902131_020.nc,20180422120340,-6.452,5.416,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075505
coriolis/3902131/profiles/SD3902131_021.nc,20180424120420,-6.495,5.413,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075517
coriolis/3902131/profiles/SD3902131_022.nc,20180426120420,-6.563,5.436,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075529
coriolis/3902131/profiles/SD3902131_023.nc,20180428120420,-6.662,5.438,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075542
coriolis/3902131/profiles/SD3902131_024.nc,20180430120220,-6.724,5.460,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075555
coriolis/3902131/profiles/SD3902131_025.nc,20180502120540,-6.789,5.513,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075609
coriolis/3902131/profiles/SD3902131_026.nc,20180504120320,-6.809,5.537,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075622
coriolis/3902131/profiles/SD3902131_027.nc,20180506121120,-6.812,5.555,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075635
coriolis/3902131/profiles/SD3902131_028.nc,20180508120220,-6.830,5.605,A,838,IF,PRES TEMP PSAL DOXY,DDDR,20220702075648
